Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Арбат, 24",1 этаж,119002,,Арбат,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,362,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001038754575,55.749944,37.592521,4504235282751719,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:05:33Z,,0,32,https://2gis.com/firm/70000001038754575,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Дикси,супермаркет,Супермаркеты,"улица Новый Арбат, 11 ст1",1 этаж,119019,,Арбат,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,7,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001110474721,55.752346,37.596185,4504235282750637,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,10,2026-06-25T04:05:55Z,,0,32,https://2gis.com/firm/70000001110474721,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Новый Арбат, 15",цокольный этаж,119019,,Арбат,Москва,,Москва,Россия,Пн: 00:00-23:00; Вт: 00:00-23:00; Ср: 00:00-23:00; Чт: 00:00-23:00; Пт: 00:00-23:00; Сб: 00:00-23:00; Вс: 00:00-23:00,+03:00,4.7,186,"84956600487 (доп.102, многоканальный)",,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504128908497492,55.752241,37.592176,4504235282756508,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504128908497492,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"1-й Смоленский переулок, 2",0 этаж,121099,,Арбат,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,463,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001045801197,55.74747,37.581198,4504235282738183,Смоленский Пассаж,70030076356095538,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,12,2026-07-06T04:33:37Z,,0,32,https://2gis.com/firm/70000001045801197,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Арбат, 54/2 ст1",1 этаж,119002,,Арбат,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,104,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001031738260,55.747144,37.583107,4504235282752177,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,13,2026-06-16T15:31:01Z,,0,32,https://2gis.com/firm/70000001031738260,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Сими,китайский супермаркет,Супермаркеты,"улица Арбат, 4 ст1",,119019,,Арбат,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,89098550888,,,,,,,,,,,,,,,,,,,,,https://wa.me/79098550888,,,,,,,,,,,,,,,70000001110133283,55.752075,37.598978,4504235282750461,,,3,70000001067534118,Сими,китайский супермаркет,Супермаркеты,mart,1,3,2026-06-15T12:40:24Z,,0,32,https://2gis.com/firm/70000001110133283,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Арбат, 1",1 этаж,119019,,Арбат,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,26,89252659397,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001042339569,55.75204,37.599578,4504235282750493,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:38Z,,0,32,https://2gis.com/firm/70000001042339569,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"1-й Смоленский переулок, 21",,121099,,Арбат,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.9,15,89296873780,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001033527034,55.749665,37.579431,4504235283017259,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-30T00:55:03Z,,0,32,https://2gis.com/firm/70000001033527034,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Большой Кисловский переулок, 4",1 этаж,125009,,Арбат,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.4,36,89296873815,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001035536493,55.754324,37.606326,4504235282779089,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:40Z,,0,32,https://2gis.com/firm/70000001035536493,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Новинский бульвар, 8",-1 этаж,121099,,Арбат,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,68,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909394256,55.75134,37.584442,4504235282751599,БЦ Lotte plaza,70030076841792648,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,10,2026-06-04T11:05:02Z,,0,32,https://2gis.com/firm/4504127909394256,branch,17,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726530
