Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Большая Татарская улица, 36",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,65,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001021499487,55.737827,37.634564,4504235282698455,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,15,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001021499487,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Новокузнецкая улица, 39",цокольный этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.5,203,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001046997797,55.732191,37.635569,4504235282699940,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:30Z,,0,32,https://2gis.com/firm/70000001046997797,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Новокузнецкая улица, 13 ст1",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.3,134,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908504286,55.73778,37.631312,4504235282697815,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,8,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504128908504286,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Павелецкая площадь, 3",-3 этаж,115114,,Замоскворечье,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,310,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001059074571,55.73037,37.640653,70030076192434623,ТРЦ Павелецкая Плаза,70030076334780266,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001059074571,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"Овчинниковская набережная, 22/24 ст1",1 этаж,115035,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.8,43,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058979621,55.743786,37.634086,4504235282695755,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,12,2026-06-10T14:07:08Z,,0,32,https://2gis.com/firm/70000001058979621,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка еды; Доставка продуктов,"Садовнический проезд, 6",1 этаж,115035,,Замоскворечье,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,27,89255691503,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001055615294,55.741611,37.629416,4504235282712975,Пассаж на Пятницкой,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,22,2026-06-28T05:22:39Z,,0,32,https://2gis.com/firm/70000001055615294,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Садовническая улица, 47 ст1",1 этаж,115035,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,27,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030118818,55.74316,37.639364,4504235282691541,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:06:01Z,,0,32,https://2gis.com/firm/70000001030118818,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Стремянный переулок, 26",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,60,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030839750,55.727588,37.629936,4504235283020585,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-23T13:22:47Z,,0,32,https://2gis.com/firm/70000001030839750,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Новокузнецкая улица, 13 ст1","1, цокольный этаж",115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,67,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026567211,55.737059,37.631857,4504235282697815,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:00Z,,0,32,https://2gis.com/firm/70000001026567211,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Большой Овчинниковский переулок, 16",-1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,6,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001102413304,55.744832,37.629746,4504235282712355,ТДЦ Аркадия,70030076637618466,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001102413304,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Валовая улица, 8/18",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,96,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127908748713,55.730799,37.631242,4504235282702544,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-06-25T13:47:33Z,,0,32,https://2gis.com/firm/4504127908748713,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Коровий Вал, 1а ст1",цокольный этаж,119049,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,49,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010564,55.729399,37.622131,4504235282723100,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,10,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909010564,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка продуктов; Доставка еды,"улица Зацепский Вал, 4 ст2",,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,11,89261866425,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001039132617,55.733031,37.639795,4504235283038296,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-30T00:54:53Z,,0,32,https://2gis.com/firm/70000001039132617,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Валовая улица, 32/75 ст1",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,12,89261874648,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001038407702,55.73018,37.625743,4504235282703500,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,17,2026-06-28T05:22:46Z,,0,32,https://2gis.com/firm/70000001038407702,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Татарская улица, 7",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,58,88002506264 (единая справочная: пн-пт 9:00-18:00),84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504128908604713,55.733879,37.638641,4504235282696599,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,12,2026-06-17T10:54:57Z,,0,32,https://2gis.com/firm/4504128908604713,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Eurospar Express,минимаркет,Супермаркеты; Доставка продуктов,"Дубининская улица, 2",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.8,43,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,,,,,70000001037699065,55.727796,37.636834,4504235282654021,,,20,70000001034731594,Eurospar Express,минимаркет,Супермаркеты,mart,2,9,2026-06-30T08:16:58Z,,0,32,https://2gis.com/firm/70000001037699065,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Большая Пионерская улица, 40 ст1",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,21,88002506264 (единая справочная: пн-пт 9:00-18:00),84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,70000001061770496,55.725579,37.634194,4504235282739931,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,13,2026-06-03T12:43:51Z,,0,32,https://2gis.com/firm/70000001061770496,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Коровий Вал, 1а ст1",цокольный этаж,119049,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,49,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010564,55.729399,37.622131,4504235282723100,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,10,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909010564,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726532
